class_type,means,sds
rf,0.837169290699562,0.020228900040426
rf_overall,0.842493101769193,0.0448324737555601
PCrf,0.814900178542444,0.0414328598478835
PCrf_overall,0.781431585781529,0.0512408293651639
svm,0.856224638857328,0.0445612770245139
svm_overall,0.857863983119623,0.0362194612960596
PCsvm,0.831293621165395,0.0311712421895591
PCsvm_overall,0.849667261808148,0.0398819820483198
nn1,0.828014932640805,0.0394634515523409
nn3,0.849667261808148,0.0195248602417172
nn5,0.834637234215225,0.0480018592092172
